title,imdb_url,budget,genres,trailer_url
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,50 million USD or more,"['Drama', 'Romance']",https://imdb-video.media-imdb.com/vi3567517977/1434659607842-pgv4ql-1564505606861.mp4?Expires=1713548781&Signature=FLhNmRvRyWpMdJq8noY2rNv86vGjvxEskpUf~SAzBg0Cw0wwZW4C~TSd5qV0WcmdYreFAN2~i1VigWhuXOhkbermsG7izUbQ4CAkT-atKcjAJpJ4t2JUcK8YR2NhZbWGPC6qSQ1ZqttLVy0tZFHm~as-hUAWUn4NcC2VU0CJIOyZXubFVBOxWmN1Ky54L1s9UiCcAIW9Hkn5-PX52dp-vCQYQCNzO~75HBB15T~EyMuL8nnvQiVfRyjrJGyyPCb6DE2Cz4HdG6txUYw--W8EZVvgMUdhOar8JFQyYpNHlH8JCe~XahC6hCMtPsrvxqnYBneMiu5NgF4nVPCaQSfqfg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,50 million USD or more,"['Action', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi701350681/1434659607842-pgv4ql-1640006844820.mp4?Expires=1713548002&Signature=n8rRYA8VPTS2v31lvqawtQNfZt~x3Za649JnZqwDFYcgHcmu7AUKcIRQOJGUT8m1AIgLSxWxXsTK99q7yu86NDjtVEliYUJuJASGxTRUWsCR8yOgUhg2XUhqEaGHWxHvANJjIOtO6WGjeQ6F1NRuISQqQV~A74Al4Ve4SgfzklQMlsDQpD9GUv1xECtc6zlEfQiTWMmGJ~Qw3-JHxWOFGl5bWhFa5dK12cNy7N8OBvmo2663wQAABxaalG-aLlLcM~yLtlZ3c7uGjsyMt5~Ab~-hRcRFwIc1j70HeVHgufr4rGoQmAZgb10ATjyoDJUIKmqrJ73iUD469QMF3RHfXg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,50 million USD or more,['Drama'],No video found
Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,50 million USD or more,"['Action', 'Adventure', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi2959588889/1434659607842-pgv4ql-1596404706743.mp4?Expires=1713548795&Signature=TNd9va5xPRi39Y9oFkpOt5patJaq98ZkU6PwtkSzBY3NID6nKSYtfu~xGIElEi8mPTwYehc1jKohL82NwfdrJoGItVEFJGRNImzwbINTCbMlrQlPgYRYaHjMkF7RRWUP~fXjYfE~s9SbktOG9ziSCO-puPgsCPfoe9n~U89lqee3dfivcLQNUdskjWnM2JMtSkIRAc~~UB3xRRc8speREJhu6Ahox1hY4~BCt8kdrbVrxpyNR-~9sgOBp4K~LA5th9hclGWSfKVsJLT8VYm1dbxqeHyDTRZkZjBKKWor2~6AQw3WV-jGNHZMcAoMfse~yyJPQ7UBtS3GLupKDFSu1g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15,10-25 million USD,"['Action', 'Adventure', 'Fantasy']",https://imdb-video.media-imdb.com/vi221753881/1434659607842-pgv4ql-1449789138097.mp4?Expires=1713548665&Signature=mZlme3uzYLroBuJfFcDDPAInrug2TRy~U3eUiTaSzcdMpONpksmPKjF3RPs-BUS9Ox7GgJtAXagBCxv5b0PqBp9aE8AjnifqWuPaxK4tqLViXu21Sag~4gTQHCmbDg2BwImJOoDS0lQlt7MYbH5~MY4yK~klRk60yeFiOCdiAUig0D1WLren9wefrUe9yH15Sv7OmA~HK8pMUmDJIWscshk6E~sb6w1YEqJz0Ew5OtQwc4Ix5NnPgDY72yDLu68GXfMQjzGwkxcj35AqMdHT9WxKYjZVbum6eDjVwhGwh8MkPfPdhZKWMVT-S8r5ORF6jc0qxIu16QV8Y8pxojDIsg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,50 million USD or more,"['Action', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi1032782617/1434659607842-pgv4ql-1606954147857.mp4?Expires=1713548090&Signature=MklcudtZ8tSAI115r-xmyhrLcojObArdnqqnjtMrPVQQiZGBQ4b08nF9AZ1X5n8KUbyfjXf67kYcHvBEGhe2U8kDt8cWbRMFApLu2OkCTtnRz3dc01Gy~NnxFo4e24dxNEffP68mpCIsDo47KvuysHLHheNipflShOys0PxbuaJuKX1SbBbD6fHhmEUaZ2b3q-qp0vO7fpyEnziGytXbKF7BdfKKdGCiNp0426yblgRcE-IsKU1RdNst-T-hhbdUzcxiiz8MID0cNs3siVxo~2JYoSsfcm9SLJbveOk7IqkEn8PEZpM7ECRY5pJrPzkufiXr0VRHcocQQnjzws7J-Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
GoodFellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17,25-50 million USD,"['Biography', 'Crime', 'Drama']",No video found
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_18,50 million USD or more,"['Action', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi3332425241/1434659607842-pgv4ql-1709136917577.mp4?Expires=1713548804&Signature=gXy~Kny3E~33n2MahFEvcrej86adzIfOJrpo9oUxL988BHLJk5ammRbhgF8tlQkxrhDrslHt-HrqTX3SKMrU~4N2x8UeqpuAHT~Z9~RCjGtJuf~gRs~viX2PH~lbTpTa4N~88xVqcaCCB1kGswFDPBZKlGm2tfVpFpzrdMLb~wCe~rvKHPfoj~xDgKg7irvukFs~qGsosxR9hhE-wqOI4ttkI0itqjAv2BZCQDdz3SrC1G8-cVu82pE057qXgbQcZcAmYmzYI8kZO5k0NR7QA5UaIFhTSSSmJu~m4wId05ft-8LnYMKRTFcCZBs8E24tp~nICkXu76Wq4ccOJJh3KA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19,1-10 million USD,['Drama'],No video found
Seven,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20,25-50 million USD,"['Crime', 'Drama', 'Mystery']",No video found
