title,imdb_url,budget,genres,trailer_url
Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31,10-25 million USD,"['Adventure', 'Comedy', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi870762265/1434659607842-pgv4ql-1694279024872.mp4?Expires=1713548684&Signature=AuyvWmTlobWN1QOfjQAjC2yRb2zGspV8odoxn2v-WG3Y3ealjZ8hK4zzJr7Gam4W3eJgnIAMRd5s0ATAfNGWKWxeDfknN129mU-tb8Nfe~44YN6OlS9wLXshWViRKkpvgkzvdFh21j3TaM6IA6f2O4BaiV1D7HB1x7RAePo1T52zn2PRAIbYvw3xGGC0p-dsoyjEHh-kJq4LaP2wKn3LfYOmqetF40rf61lrEfdfyXaUfDzJuLAnsxi7zbVtRu4dKwjkRUEu8TMGOMRtfdkNLttjhYQl5rUeM-ISGEYl1PzT8-HuDGxE92ilJOStDfMvYtGM1qLpQebdDGgUOwniIg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32,10-25 million USD,"['Animation', 'Adventure', 'Family']",https://imdb-video.media-imdb.com/vi3619684633/1434659607842-pgv4ql-1564585734687.mp4?Expires=1713548906&Signature=gJAd3j-8McnCnF0x59N9dRUDYeMvzstHXNdrVwwfhgDWiCA3hW8eM9dc1mrlVq6mUG8drxxZUWzTrM146-MbsFFDRVOz3D5eVBKiNu1YHgARCpoweQqZP3-f51lmDBGTi96SRzLCim5xIPswJYHgXtWnbhVhMLYWq212JefGNc6SyUFCKclwefn0EY0B6WPG6N6xzL5BC4Q4eW9VwAbgGMLOGg2cfLCkZ851mhdxCGxIu~K~jCULYHWNLXIMy5nf2keyo7zyvZCaWcGcVp5947wUgzAnLnOI3lVg4jcVQ~wamVqs0Z4AJfrBc3Ot~rMuUIwdk0oUK-gdh05weQMvSA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Pianist,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33,25-50 million USD,"['Biography', 'Drama', 'Music']",https://imdb-video.media-imdb.com/vi988938521/1434659607842-pgv4ql-1563966673223.mp4?Expires=1713548815&Signature=ukLGeYJ5~a9PBt19E9pp52KNhaMluP0joqf8IEsHgD0O7rhZ9swW4R-Twh6f79sX1NdHUFH6SH8epjj26neXp7H2D17yQAg9Hf2kDu8f3QFQ~zYaIb3QWE0aLIh8hI6AZHObG4nxhkG-z8o35r8SJNIPgcWKqggEyS5Ozhsn389B3bro5I-77IHklXLWcRYI~6XAQRsWpPo-aTsVSllZGQ1226Rs94P22VY5RTikxFPrq0xQ1b-PHOMivEtrdD4C8l2FM8kAqp9EC-thdeFztkqiSa1ouTII6kPMGol86QDPqzcJXPgt-h1vnqCSyKJt2r0KU-IYGnXfwGVA2jdbhA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Parasite,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34,10-25 million USD,"['Drama', 'Thriller']",https://imdb-video.media-imdb.com/vi1015463705/1434659607842-pgv4ql-1606954080073.mp4?Expires=1713548899&Signature=ZwAnyGLZyDF7GhPS1owaSg3wRRbGxx9lWM~4CrJwPARX7i23IxXlF57ar3oZStlIQxH7GIk~HUli31uJq40JlzHogfMbT98n8RQz38xuX2vUzhuYNSe5iXLrZ3Z1Luvb6v7OvW~EG5QaW0nmdNP2PcbxxI~vyS3UIvsAOUrxt2prB8PRqKg6jA72AXdl3kAdAaGbpbvPqzXo9~0nGuwtPFk8zglC5FxXp00hHvMER8YrkIIhJKzK5h9sBHV8ChthyH5eJWuLhLGwnWofh7vJHdDkLrXdT1Zi6Wwp-LDMpnmXIPyELxC7xBVPT~drAVVdDgJmdHmVwzS3RW68li30gA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Psycho,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35,under 1 million USD,"['Horror', 'Mystery', 'Thriller']",No video found
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_36,50 million USD or more,"['Animation', 'Action', 'Adventure']",https://imdb-video.media-imdb.com/vi207143961/1434659607842-pgv4ql-1684523586073.mp4?Expires=1713548964&Signature=KVGMF~4iie2jj0-EF0CSA7invhKMJ6NX3G3Y-9VdVaYEkbbQEvBUNU81hkUUEyagXTceIy4M-6pZLg41UtX9zdxSyx38S1LHJJ3ggapGgB6RII6s2nJq-PeUebQUQeecsO8BmM6AQT~gjPJnBMCj8rQ-ypw9vEc9P1krP8P2DXrIrvInw1MCG6wnmz8c1lhyWxRyzVoqrSCAi4tzh7SzJj5EJNynO7NC61TTyJe2EbrjKKhzpTtqTTlGLM83O0A~qNRXeFgSKWXfpUOw-DIKV2t8iNcS5hhlZjbdLxRcKsJuQefUWokJIMgwNrvbCiaVsWPlfy62e0IP0pfPLuQMAQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_37,50 million USD or more,"['Action', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi2628367897/1434659607842-pgv4ql-1473794595177.mp4?Expires=1713548995&Signature=YmB-FgHHqopxnc3HTpTYrcvCB~ukspJTeUK1NdN7VG5cBoG~ihMcN5phS~4o018OxQN1Fm~dU6di~6UbqilbiQREKT3BsMG4lBctYiw-zTsPVGzXYtkHT-JXwoej1xufieozKpZMWi82R7i99FWsCTP92kp9Mc7Q-~nZoBnFzOCeJDWjM0Ytoaz9wT~wMZhylJU0aNMqzxXXlxj3~KQybO1txy0w1cDaOPUp4DYbeIgLGki8QwoCVqQmJYI7awEibVAJgzarzBQmLRKdGGLhFexfP8lL3DPkg5~cZ4Q5VzAKkaH0eDMgqnQpcPueI-nOHybiMRYznb-PmskTJpeENg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38,25-50 million USD,"['Animation', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi3764362265/1434659607842-pgv4ql-1474413579826.mp4?Expires=1713548634&Signature=YtyqLOOL7LkL4EyOcQn2qX~gktaF7kQpAimLwaaRfBoUy0CpEwGdxU6RpuImsRcNWWwsxk0tx7kkVOxq~sB-BqEFv-S9pXQRnzepBucn6D2A1-poVPFHdVHgpVu~UMce03mRbtPSd8EyGo-s2iEA2ULk2YLP5Q-HFJWrYYW3hzxPusKZ-UZqOS2ew5~qtkk2Omq9VLS-tfbt8z22zCFJnAH7K9CzHO30EJS8szNXhgAkz1YZN6ML3vyKCnpPlrXvWkU~QGF-dB1WUouXdO2roC6HI-nmdnPU~LCJ7ceBzbfdNp5beR5ym9ZcseYbKq2~mY83lsKbK2-3PligjtuCIA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Léon: The Professional,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_39,50 million USD or more,"['Action', 'Crime', 'Drama']",https://imdb-video.media-imdb.com/vi2744254745/1434659607842-pgv4ql-1564588687772.mp4?Expires=1713548877&Signature=DugYJnkvwjtX9i3t8uOab89d5KEP7XC8PkUNguRs5UGpk4lxxeRHuC4l7L3oP5JYAsTUSEflsQaITEnusLhXC2rFPXGjydrJOZmXpIwM-ERkVgOPEbA247HE22ACafWEix60qt6c8jQ-52wovbQEamF-Ie7dqGbLvbdASlvhq7H0OVyS6~jRDxbHOn~ZG07DlIUNAbEfW9gLA7c8oHp6rmoSiymXMFxdCWbi6i4IalXE7APKpjRSeZereUvrEZbdupT1C-fxbVUguLuAaEUQosFyh5YbD-76MDrBwlgMtM3ujExKQJW4SmKVIrWO-J6-U6vyWeel9PmBBL-bLudHdw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_40,50 million USD or more,"['Crime', 'Drama', 'Thriller']",https://imdb-video.media-imdb.com/vi2760573209/1434659607842-pgv4ql-1563532402193.mp4?Expires=1713548451&Signature=kirsLty5SZs5kAIkFBH9nDYG9RtPUTxR4rLjDiPC4-1GNojmc2mtm~Fr1UgOzbqN2euoSkvuxHiK09OfaeilSTnNNOHX0zuRh~Snl3UaRW08qtpP~npsHhX0ipNZEkRX9rTU9PgNuSBUbaDZuzqbn6uG9HO2q1cWDPzmjgOCPJBYJZMoRMQWfCmkzMzzhN4mBbu0Ikmpl8PHPvbXr2scT-xeqZp62v6Hr15WiyakO7cNwis8m~7gb6BJm2kunXd5QYkxbU5abDICOapImCI6urNMu9GUPmH6Md~h5Ko4EMypGy8JVLG87Dcn3A3pmZlvLQ4VnSE-YcW4h6dpvtxIYw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
American History X,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41,10-25 million USD,"['Crime', 'Drama']",https://imdb-video.media-imdb.com/vi854001177/1434659607842-pgv4ql-1564093940605.mp4?Expires=1713548636&Signature=rJBNquAi9NFrUwo4SYrHCQ7menU~1MJp2VJF3JpvkK87NkI-sVSiBJoGYGLlEgQ~tbaKCDJjv4QDI270BJ2ikpPkU3yId5QHP4pJHctxuAqiZHgNVEiBC7F65eiyVAVSYhotqk7QVdHxwAXFnYHa59vKExivpVLEbKf8XJunHQDWT-eT8LLMB9pYZKD9LzkwI0QeSMfZsnwG4PGyq-6jihELUBahPMRoU3A1XhviP0SAsokjxFAEW8ydNnBFLh9hgtQU2p8wsz58LNELWxrN05mrPUG51WdXFCVo~2ZyZlwtVTXpEhD-fFIx3yHFKVqNz9XP0sIkAc0DtuepT~SX9g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,1-10 million USD,"['Drama', 'Music']",https://imdb-video.media-imdb.com/vi4006456345/1434659607842-pgv4ql-1616202354600.mp4?Expires=1713548391&Signature=PgESn5yYFLr6l9JsD3fnklF8ph-9ZpseSaKjEQmWLnOnBKNPTLcLRiZ2wAbQ7O69EM9yAYtJkm12HSZLHKena8J0WyMaVsoRIPecrQ6JRKLdgfQ3kj6ssuqpOdAOm4yyEmEzNGVCVpZHYu5cJxqIGOvQYhSzrEpHsX7zEHdYU2hJS~OwxvrERnP4eNzZKhBYBCngYLRak6hpiVN8X1kWnQzHjsmCXeielUI8dnKHbKMgQ8IHuCnlv-GZfMdG4CY53aoU4Zbv-Ls6adM2ddbrLWkCq5ziS38sd09MtEXOZenTUDXDStl3MBLBeY6f64LtYS6G~lFnBXYr3GjR9AAlSw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Prestige,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43,25-50 million USD,"['Drama', 'Mystery', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi2885334553/1434659607842-pgv4ql-1477505989007.mp4?Expires=1713549030&Signature=cF-1xJ6466kemIy4ltUfVQVskl4lpUxqsvdILFw1mvvp0bNEMHwk89arHbIUlvypKySxr-Rmtiw-IBI5HWCEyP~znZcQar9hPu4BXP1tyPk59AfcXoehnfCUWsz1hjgAs7GeTDebeNDQMxwwgS1uWlWBwpX-QiO0oFL-90IGDQUsg5HQKOOYC4Qoy4T4YwyZE1s7q9fyxfMlPr5cInRPwORGg5~ju4fk3xmqjSLo3xRzEUaZfwEfowDOaKq32ZULXRPEqlZp4PNT0ldt7K0tGJkbcDbYtD-xe9x6lyeSafefMTuJprCuwXEmJJ1U0yAQkDMshK0-FtjnMiTxgPTC3A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44,1-10 million USD,"['Animation', 'Drama', 'War']",https://imdb-video.media-imdb.com/vi1377679385/1434659607842-pgv4ql-1563669166430.mp4?Expires=1713549046&Signature=jvuGjmrJQUHpCvWtI7sPB-eL6AQFPrcJEn6k19CLwlgQaYVJjlffgdHPgza4bSBylUEOxZ-qMA3Jr3166zGSU2-yQaI9Nakjus1oBFJczeJhYozJCPoGeXWEuZa5ZhnYLW-dqQUPoRo3flu5yF-WMKWp0K8MWUm8ZCGQxq4IsBQc1m~Z9P1gfGPI-YqMDquFzVRUZ2rQD8i3WQyEnAgwpvI-g7fCDlwK3Gzikoi9lOb34kubFUCbkkMv4vVI81hIXmjlgQlVqMWyOsW1xIVy570keRpR5VEPIrmX8nhwvJ7A0kT6L6CSUFs2m4VJL5oDxxHolB2xsALgAAX9LcYEOQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45,,"['Action', 'Drama', 'Mystery']",No video found
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,1-10 million USD,"['Crime', 'Drama', 'Mystery']",https://imdb-video.media-imdb.com/vi2717188377/1434659607842-pgv4ql-1564025456200.mp4?Expires=1713548261&Signature=S9ogl-JND6NaRTNOKQFf1nsccSeVSLlUIJEu1kPGkrrurulqCwXvt6EDeVWcRL6q86AMn00OxxdzRF16scQ-Qna4vgtz7eiT1YG7gVs~M1nqDGRbkmChN6KiCiaWOFs9F-ZqOYntnBdt1qaasb6~xY6ek3yW9lvKe4kwMxXssA9jqdj9elTD-cxQBKexfduMUkWrkEASE9KqbsA4QRHxtlwMbYyvBIcBUsKSX0wFtR27iLNVEPJXFS5BmjpihdPRJgDed70BEIzmYnPinVG~aYUSH3DznqJdNNgx95ucgnCWPecT60Zrse6bajQIGV2j3PBqpE5UZo6TpMr0evDDqg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47,under 1 million USD,"['Drama', 'Romance', 'War']",https://imdb-video.media-imdb.com/vi6095897/1434659607842-pgv4ql-1616202585787.mp4?Expires=1713548794&Signature=aKS1ehYuf-snaiAOesj5JVBLyAr68iFZ8UROUguLs5ulG~7GvPNtMQU6-s1stmSo3oftPbtRS7XRVfIHLEliX-49sM-c-HkSjQCMZ1RZg3eG5nlue5SX0ra-vQZKzDIm0nbDSwCCH6s3lyBqmhYv7CWbK0~YTxXq74TXQD~S-G5SUdpa0EdbIODV163DstXh6XITkV-fsxEaOIRFr7iGBxZ2P-x2x2mxVsqV6SalPIIDolQQi9RPekH1pEOYtIpqG9m8NgUVMmMGFhUDM4XAe1dqVAa52yjeZAj32wUBhMyM3WtLLXi1y3b3D32VB4FQgx74PL939w4VcGjxWOjdiA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48,1-10 million USD,"['Comedy', 'Drama']",https://imdb-video.media-imdb.com/vi59285529/1434659607842-pgv4ql-1616202345202.mp4?Expires=1713549087&Signature=cEWZq97xEFDRV6RI9iX9udwt9baO5nbkNE6s-iG8K2OH9Sb3FWenn1fmRUWJQ4DW0WX49gmbbcn3C~-xYhaGZkm~bX-HcTnxYSBbZ4ZXSmf-dDIq0uikdbPI-f3S0OVfH~kvEiK08m2aT3CRcxSj4tc9wuZ1YAMcfTEWT95FlxpC-3hxYKyaMm1mILxwtTHfaH0qngg0C6LgR7V1PiWMU8F93M~91sFy3mXyYDxEnTynt0MgWtEai17nOV6ooZ2Tc09zT0oyRESzKFvesebojxPdzliYwS24Apj2ZUDL1wsALD72yQInGoumjYdDlgCEhq3kphUkFH11-SsYn-gM6Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49,1-10 million USD,"['Drama', 'Romance']",https://imdb-video.media-imdb.com/vi2800655897/1434659607842-pgv4ql-1563887365515.mp4?Expires=1713549090&Signature=lQfhP6ZuqKfC2WMscWzdFlHct~ZQk~mUT7mAF0TLU3-FFVms8Htv1oHpTqRPuCVIismzxmU1ycpw8tBPEPXG1aPxoSonfHRz16weCWBi~vyaE5X6yuZuKVWLeT~BkbdCBJ99SQkGvHy5yIlrJtiilfFTMTZdDFlnms5M-ayeJpDYCcL-CoOKScmrfB0Myvc8K0zjyki24lTCqhDjWh4WdVVfd9TlYg7whbq16oRf7-aWMbLNeG9hY6qiwqxHxguBGaSUBhTVjdgQqe4NsND8Z9CGBV1dtRmiK667h7ZSQC~myxHL6kdwlgEFO3MmCIFTI8WPsBQ9bxWz21~EoNynug__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50,1-10 million USD,"['Comedy', 'Drama', 'Romance']",https://imdb-video.media-imdb.com/vi1756676633/1434659607842-pgv4ql-1648742951109.mp4?Expires=1713549092&Signature=nWDVW8mIFrm~L2oO3g-T3wNGDSPsh-dcE04lA9tPMEMdkdXuLCMhn2HpCgQHuW7OikUTvuDr7FItofij55oZC35G-dFmset-Ld~Y~LD2fLAcVVsLfVzSBTuWhZsGHoFobss8uHQ5noYwyZLX0Y938xqJRNcBNI~fTZOXMNwhN7-aqGpPHnLDq4NeLAQl3uurksG4J7BIYwmp-dKtsDokMOB-bFQJVIVXlM6PjgpaHgxFvE7OqyjRpdqDnQ5QYQHqjfxR~dK1d-TIlkaVEevU7qXwIAqDzh1Ks6lwAUUojIqGZ-mpfdvt7fFqxrFJ1byJA7IXPyt6xBMX1JBW9ISR3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51,1-10 million USD,"['Mystery', 'Thriller']",https://imdb-video.media-imdb.com/vi1947451929/1434659607842-pgv4ql-1658944626382.mp4?Expires=1713548620&Signature=fCW19oZotC7fU9eQlSGMuw2p19UJPr37b2ca~Bynvnel9h71jcfVgQD9xb6lwe-KSfLU9ld3Wi1nGH~qTi4oQNaNnK6MBr3bHbG1VcxZZ3cu1hyqP78FHCPOfOxB~bcKe50cVmapr-pmnHHl5Nh2g1Qa~54hxW6JdVnV0KbUy5RtyOR8pp4wAfdMX0mNgf6qBoQAD2rCVhiH~pXlqopwPB1f9tMVE5CJ6-sfJHI694fNzTC6rsdve-M0uKVUjwEuYUEtK7iD5-izpwjMHI9cO0TGrUETSLFBFkgsA13KiNFya5m~v1u6Yo5Y37rTU8dSzuMtMMmWGCPxEphGgoX2-A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52,1-10 million USD,['Western'],https://imdb-video.media-imdb.com/vi239075865/1434659607842-pgv4ql-1564621591982.mp4?Expires=1713549180&Signature=i2fs50zGAUMpULTJEFlh~NuI9as7iyjCL3XRuV2MoVZKowW8qpuJe~vmPLdHgvj1s2tCbg~q5i5pyym~6hxvlULGLdhoEL51zBxuEtrwWoNEruN5xDOgqu9oXAf~zFWV7ClLKX3n4tQoXKCREPrJgrpJiXCOL1~5fxydw-Qtx72xqojNplADJmlBX2~twvMzS9GhMYrEORTg9Lxs4IQS4Ou4e40NP1pYLQ9E4CElGyI3C-eO5jdM3FLC2n6eWU3srBaSAafSMPXV1kxj9EFr2vX59I~rlSEXOqNCpQ6cZG7xy~oUSu4js3WhnRLl7ee5AuLFiDM9Kg50RsHmeaE99g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53,10-25 million USD,"['Horror', 'Sci-Fi']",https://imdb-video.media-imdb.com/vi1497801241/1434659607842-pgv4ql-1616202526026.mp4?Expires=1713548681&Signature=evHIOaDQykvp0CCBK0jOHnPi2Kn779x6oJ8CFRbonF~qKdd3zIxK4mEPCk0Jx0wQ1Qn0bDLgT5TGJjLsaiddQX8paA5rn3yrCz1RIB45XNiQKSMd-~ufiqJ7-NnhMolDe0-ZuN0K3Fz5V~xJWre9mqDbR1lKNHSyc~SNMP4N0cKf25HpR242C0j89ZdUlPQ~ZLBJ6eNbay0YKjP6F5NwST-3DG0dIRCrljSvG2ZkBIVQH3crAeSQbCCwKZpfOijXpWra3tZtYqiy5fNrL4ykw8Xs7SDz0NJKTdYzCqBRHBJsGzGxkSRvN0ByyqBkuISx70oMQLKFnF6GiGR9asJdRA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54,1-10 million USD,"['Comedy', 'Drama', 'Romance']",No video found
Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55,25-50 million USD,"['Drama', 'Mystery', 'War']",https://imdb-video.media-imdb.com/vi3543773721/1434659607842-pgv4ql-1564496837882.mp4?Expires=1713549048&Signature=hSB9NMIWfP4OHuTWmEwxSGoNgiAHPCxOJpQZmfmrDJvL-6IH6Raqhgj4iqfs5sagJxKGMw7X9D-4KTKFTyMB7P7SabtnaC02AqZeDD~jHKk0WxVtIodr9TBub7fiUBA-pPp5B6IWX7fg3f~Y8DpVF2XyD0k306u951mvUnB-Omkmg1U3fZwgdgJmG0gcgSf1zdj1wvNWhzc1Txebt04uuWfwzSw8zaHQUPeSUUSvYp7m0xu~mU7fGQoEnbUcXSo9tnBNJ4BsdEJOaU~uiw0iqRW29VYyWri4iCD605SETrpYZcGkVr4ZSSEnwrBRgtvexgytyDZ92wYQqgtC-JFWUg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_56,50 million USD or more,"['Drama', 'Western']",https://imdb-video.media-imdb.com/vi2291574553/1434659607842-pgv4ql-1616202424410.mp4?Expires=1713548697&Signature=p84PVQO6Q71NABZoQXPzO42tbnA~2pPnrZ7D4w28CbglF4FWDfMoZU8zWvJhE1SuxE1g0QbbYf9xQxavDJJjHa2iChhV7qbUcS0fGb3fZpTpDlo69B60T4MlVd1f4RF0pOq3iTm8NJFk77IJH-HjhC-CXXnlbwx8ccdwvdVydPjRhl3STsDW9ArWazwFgKNRx9kCyXxYR5F3XRY9dT2U1Iky9MM1T9N49FFtslpwB2SZXg0LeBpoP9azecV9~xhpk0y1JIb04urFsHuhsfebKPrqd8wTGBmOskBGmLY5YgLJuMvirOOVTZqRIlHs3Awue7MLw~3uZ2KeoDXykqhpHw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57,1-10 million USD,"['Mystery', 'Thriller']",No video found
12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_58,,"['Biography', 'Drama']",https://imdb-video.media-imdb.com/vi1088210713/1434659607842-pgv4ql-1696407974003.mp4?Expires=1713548822&Signature=Re93yQ5FSYkcNfX85Sn7BVW3g34RazpJP~JXT7QSlnRjn62uizvS0kLQ1dJ2lnC6VwkYqKH3GQk6QrdY0IfjKg0~10LdWhZ4X8WSxnj8sj8Q4i60Ufie8Qcr1d3s2ONcD4qR63kbq-YM04bjJKrURFudni7u95MEtkrmowoUgYpuuizJVMjwGg0pkpTTb6AEokUddNLlLflqH779yLjB97Oj1PBOFn2M4ahQaWVmD2i97OOgDEkm9jvwYHAgiIZ36jRar3EaxoC~1mc3Aba1NStwTGNIsb80th4LQrDdmv1tz5MLvjrhBYUf~-vCxJVyXyvaoHVoEHbqDB~VfIvs2A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
WALL·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_59,50 million USD or more,"['Animation', 'Adventure', 'Family']",https://imdb-video.media-imdb.com/vi2192703769/1434659607842-pgv4ql-1616203103302.mp4?Expires=1713548412&Signature=CAR7Cz6VB0ge19LXLb2vpCp5U-qbHJJoUDiEPRk-DTbrZPwxuZBhKBoUHWDLpLtST7aGaeBgYZpj1oqq0Ou5QqjuMXIXMJmhA5a3erAqpikzgy9UScAYd0wKQB541x0UXE8LYJizC3szINuqvS018B8Lb5QlmsYOhpnfCubncnWQjkidtFMsopIQm26CMVek9yw7LdH0CP9Q4RfH2m13xK7lnTvBhOz7BAKw61xWhGJxNcNqfrSiZEkcgD56qAqT4wv76v754BYLIniAKq2OdyDhxtrpnbTQhdOqT6boXNyk3EV70CVyjHfp-5Xck2jstnHMW~84KW4DSKc9YSEpQQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_60,10-25 million USD,"['Action', 'Adventure']",https://imdb-video.media-imdb.com/vi3747396377/1434659607842-pgv4ql-1536964032506.mp4?Expires=1713549096&Signature=mP-Vs8zUWuqkA8h8YnK1Vv8KeEXMrmQtNXYd8gnn5rWWQd~OEVSrIh1AV39oHLsjwLtyyXEFznn8NN1vb0H4JwNl-0mNIu8KSVAr-UUAhNUxRXGPi6YcCLd3U9NE8fao6Fqu6JMs~5E~2NLOmOuqCfo-BITOY0~YRY4oXVO9tRXJeNK4m78cO2tdOf~7ZzkuZzn1xbig41w9V-A-itdB-PPWW35sw1GQLP99~FOxT9rHSYuiMDhgdofxbhIcghh7TuPYDe0-sApsgeXoZvfxsGWBFnQrQfzK8hx10Xmnx8xK4CKldcP7lPwc48WyOlFQMyBJijHPjcXP6G9VfaLNrw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61,1-10 million USD,"['Drama', 'Mystery', 'Thriller']",No video found
Sunset Boulevard,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62,1-10 million USD,"['Drama', 'Film-Noir']",https://imdb-video.media-imdb.com/vi2388460569/1434659607842-pgv4ql-1616203164916.mp4?Expires=1713549229&Signature=pZtAEbbutjuXi0coh1Qf9Op1LuEFhlWJaBc-qRHGZlk0fZhdQ9GO-sjiG2VQRDQm3GjrTZTOI~-2ek6VEeBb~yK7IzzGhvPGZeedOrl-jNXsjm5VSGK3~rgGPZIAGf1gQrfXcBdRSpVk474vfL1QpY-qvGlAjmb4HigzfiRp-g1gPx6ZAq6y3dQPYV9f2cNmMlf~K11MkLYY0WH6o83OgoaXNIo9au6Eblo~nH05mnXSNCziBvQ6K62pOfCBprbHfBVnE6kbOkObaE1M0lPAxF5R52QunINrlpTJ0nRzJLchXoWUk2SBvCExWfXPlN5OuBOn6OMkhVean9phHkfSGA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_63,under 1 million USD,"['Drama', 'War']",https://imdb-video.media-imdb.com/vi763627801/1434659607842-pgv4ql-1564143477293.mp4?Expires=1713549311&Signature=a715o9PnYd4maTU2gJK9u4nmjSOZo~iTv7fYp0-ADbBD6gGCEtjM45JN3dIrS3MhQjKDENMsnJpVlGDmYF7kBmldO837-LylcYNvcs7ABm9QN5n1d5xqg2sCYrBaw1zKa9erUCYbXnaFd-Aa4XyB0bddkcHgMQdEmxWGsleTI7F7Z5tPszji4fbTHaarOe~KZdnffanW3h~vjAr095z-WI2coEuMRkJ7IpdJSZ7yIbpCDyhFfYfBs43~vTDTTV1V~x2tZ4D4~uA6qZSmtzZmjn-0jZAZCDErUHVIEFqvUpnZQ78VZhEpCMa01wAuJ0eLjVmbQFPzej-et~vb0gswNw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
